event_timestamp,epoch_timestamp,message,timestamp_description,threat_type,threat_level,,,
2020-05-12T07:26:59,1589248619,TCP 49666,Port Opened,Listening Port,None,,,
2020-05-12T07:26:59,1589248619,TCP 49664,Port Opened,Listening Port,None,,,
2020-05-12T07:26:59,1589248619,TCP 49664,Port Opened,Listening Port,None,,,
2020-05-12T07:26:59,1589248619,TCP 49666,Port Opened,Listening Port,None,,,
2020-05-12T07:26:59,1589248619,TCP 135,Port Opened,Listening Port,Good. Item is on Good List,,,
2020-05-12T07:26:59,1589248619,TCP 135,Port Opened,Listening Port,Good. Item is on Good List,,,
2020-05-12T07:26:59,1589248619,TCP 49665,Port Opened,Listening Port,None,,,
2020-05-12T07:26:59,1589248619,PlugPlay,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,LSM,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,Themes,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,FontCache,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,SysMain,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,MemCompression,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,fontdrvhost.ex,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,AudioEndpointBuilder,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,RpcEptMapper,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,Power,Process Created,Process,None,,,
2020-05-12T07:26:59,1589248619,BrokerInfrastructure,Process Created,Process,None,,,
