Name,Threat Type,Threat Level,User Comment,Path,Creation Time,Is Service,PID,PPID,Malware Scan
MemCompression,Process,None,,MemCompression,5/12/20 7:26:59 AM IST,false,1384,4 (System),(UNKNOWN) Malware scanning disabled.
firefox.exe,Process,None,,Users/Ashish/Desktop/Tor Browser/Browser/firefox.exe,5/12/20 7:48:20 AM IST,false,4108,1284 (<not-found>),(UNKNOWN) Malware scanning disabled.
RuntimeBroker.,Process,None,,Windows/System32/RuntimeBroker.exe,5/12/20 7:28:12 AM IST,false,6540,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
explorer.exe,Process,None,,Windows/explorer.exe,5/12/20 7:27:55 AM IST,false,1140,3808 (userinit.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:30:07 AM IST,false,4468,676 (services.exe),(UNKNOWN) Malware scanning disabled.
sihost.exe,Process,None,,Windows/System32/sihost.exe,5/12/20 7:27:54 AM IST,false,4804,1200 (svchost.exe),(UNKNOWN) Malware scanning disabled.
SearchProtocol,Process,None,,Windows/System32/SearchProtocolHost.exe,5/12/20 7:46:40 AM IST,false,5712,5972 (SearchIndexer.),(UNKNOWN) Malware scanning disabled.
wininit.exe,Process,None,,Windows/System32/wininit.exe,5/12/20 7:26:56 AM IST,false,532,440 (<not-found>),(UNKNOWN) Malware scanning disabled.
csrss.exe,Process,None,,Windows/System32/csrss.exe,5/12/20 7:26:56 AM IST,false,548,524 (<not-found>),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:58 AM IST,false,3820,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:00 AM IST,false,2288,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:01 AM IST,false,2616,676 (services.exe),(UNKNOWN) Malware scanning disabled.
NisSrv.exe,Process,Suspicious. Run from Program Data,,ProgramData/Microsoft/Windows Defender/Platform/4.18.2004.6-0/NisSrv.exe,5/12/20 7:37:50 AM IST,true,8152,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:29:20 AM IST,false,7400,676 (services.exe),(UNKNOWN) Malware scanning disabled.
spoolsv.exe,Process,None,,Windows/System32/spoolsv.exe,5/12/20 7:27:00 AM IST,true,2328,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:32:23 AM IST,false,6664,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:26:59 AM IST,false,1008,676 (services.exe),(UNKNOWN) Malware scanning disabled.
audiodg.exe,Process,None,,Windows/System32/audiodg.exe,5/12/20 7:29:26 AM IST,false,1920,1820 (svchost.exe),(UNKNOWN) Malware scanning disabled.
WUDFHost.exe,Process,None,,Windows/System32/WUDFHost.exe,5/12/20 7:42:51 AM IST,false,7100,676 (services.exe),(UNKNOWN) Malware scanning disabled.
SkypeApp.exe,Process,None,,Program Files/WindowsApps/Microsoft.SkypeApp_14.35.152.0_x64__kzf8qxf38zg5c/SkypeApp.exe,5/12/20 7:43:02 AM IST,false,1628,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:28:10 AM IST,false,5560,676 (services.exe),(UNKNOWN) Malware scanning disabled.
fontdrvhost.ex,Process,None,,Windows/System32/fontdrvhost.exe,5/12/20 7:26:59 AM IST,false,840,532 (wininit.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:00 AM IST,false,2076,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:01 AM IST,false,2752,676 (services.exe),(UNKNOWN) Malware scanning disabled.
dwm.exe,Process,None,,Windows/System32/dwm.exe,5/12/20 7:26:59 AM IST,false,392,632 (winlogon.exe),(UNKNOWN) Malware scanning disabled.
SearchFilterHo,Process,None,,Windows/System32/SearchFilterHost.exe,5/12/20 7:49:00 AM IST,false,7120,5972 (SearchIndexer.),(UNKNOWN) Malware scanning disabled.
Windows.WARP.J,Process,None,,Windows/System32/Windows.WARP.JITService.exe,5/12/20 7:48:26 AM IST,false,4132,6204 (svchost.exe),(UNKNOWN) Malware scanning disabled.
SpeechRuntime.,Process,None,,Windows/System32/Speech_OneCore/common/SpeechRuntime.exe,5/12/20 7:28:10 AM IST,false,5964,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:32:20 AM IST,false,4008,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:26:59 AM IST,false,1668,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:42:35 AM IST,false,5448,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:28:04 AM IST,false,5608,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:54 AM IST,false,4816,676 (services.exe),(UNKNOWN) Malware scanning disabled.
smartscreen.ex,Process,None,,Windows/System32/smartscreen.exe,5/12/20 7:38:27 AM IST,false,1004,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:26:59 AM IST,false,960,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:00 AM IST,false,2220,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:01 AM IST,false,2624,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:00 AM IST,false,1896,676 (services.exe),(UNKNOWN) Malware scanning disabled.
SecurityHealth,Process,None,,Windows/System32/SecurityHealthService.exe,5/12/20 7:28:26 AM IST,true,4928,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:55 AM IST,false,836,676 (services.exe),(UNKNOWN) Malware scanning disabled.
RuntimeBroker.,Process,None,,Windows/System32/RuntimeBroker.exe,5/12/20 7:32:04 AM IST,false,8048,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
WmiPrvSE.exe,Process,None,,Windows/System32/wbem/WmiPrvSE.exe,5/12/20 7:30:14 AM IST,false,7236,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
